word,voc_easy
abide,"<div>Abide means to be able to live with, or stand. If you can't abide with something, it means you can't stand it. If you can abide it, it means you can live with it.</div>"
abiding,"<div>Something abiding sticks around, lasting a long time. Abiding is usually used with feelings and memories — as in your abiding love for Elmo.</div>"
ability,"<div>Ability is skill or talent. You might have the ability to blow bubbles, or sing in a falsetto, or dance the waltz. Or, just maybe, you have the ability to do all three things at once. Impressive!</div>"
abject,"<div>If it reeks of humiliation or looks like the lowest of lows, then you can safely describe it as abject.</div>"
abjection,"<div>Abjection is a kind of depressed feeling, a bleak and heavyhearted state of mind. A series of terrible jobs might send you into a state of abjection.</div>"
abjuration,"<div>When you've given up your old ideas about something, or retracted a statement you made earlier, you can call it abjuration.</div>"
abjure,"<div>Abjure means to swear off, and it applies to something you once believed. You can abjure a religious faith, you can abjure your love of another person, and you can abjure the practice of using excessive force in interrogation.</div>"
ablate,"<div>When you ablate something, you wear it away by rubbing or some other method. In medicine, doctors sometimes need to ablate a patient's skin to help it heal.</div>"
ablation,"<div>An ablation is removing a body part, organ, or tissue surgically. If a doctor takes out one of your kidneys, that's an ablation.</div>"
ablaze,"<div>Use the adjective ablaze to describe something that's on fire. Once your campfire is ablaze, you can toast marshmallows over it.</div>"
able,"<div>If you're able to juggle, you'll go far in life. To be able is to have the skill, knowledge, or permission to do something.</div>"
abloom,"<div>Something that's abloom is flowering or blooming. When your rose bush is abloom, it's covered in huge yellow flowers.</div>"
ablution,"<div>An ablution is a washing or a cleaning of oneself, for personal hygiene, or a ritual washing or cleaning associated with religious observance.</div>"
abnegate,<div>The verb abnegate means to deny or renounce something. Scientists abnegate the existence of little green spacemen from Mars.</div>
abnegation,"<div>When you purposely deny yourself something, especially in favor of the needs of others, you would describe this act as an abnegation. This has to be your choice, not the choice of others — so it's not abnegation when your parents don't let you stay out all night.</div>"
abnormal,"<div>If you get a snowstorm in the middle of July, you could say that you are experiencing “abnormal weather.” Something that is abnormal is out of the ordinary, or not typical.</div>"
aboard,"<div>The adverb aboard means on board, as in on a ship, train or plane. Usually the captain will welcome you aboard with a brief speech if you're lucky — or a long one if you're not.</div>"
abode,"<div>Your abode is where you live. The Queen of England's abode may be far from humble, but it's the home where she rests her weary crown at the end of each day.</div>"
abolish,"<div>To abolish is to get rid of or annul. So when the principal yells at you for the 100th time for not having your shirt tucked in, it's safe to wish they'd just abolish the silly dress code.</div>"
abolition,"<div>Abolition is the act of getting rid of something, like the abolition of slavery.</div>"
abolitionist,"<div>An abolitionist was someone who wanted to end slavery, especially in the United States before the Civil War — when owning slaves was common practice.</div>"
abominable,"<div>Abominable is as bad as it gets. So if the food at camp is abominable, the campers might start to shout, ""Ick! Ick! Your stew is making us sick!""</div>"
abominably,"<div>When you act abominably, you do something really terrible to someone else. When politicians lie, they are behaving abominably.</div>"
abominate,"<div>When you abominate something, you really, really hate it. You might abominate your curfew, or the substitute teacher for your math class. Picture a preacher telling you to ""Abominate sin!""</div>"
abomination,"<div>The noun abomination means a thing or action that is vile, vicious or terrible. For example, if you see a neighbor kick an old blind dog that's done nothing wrong, you might remark, ""That kind of cruelty is an abomination!""</div>"
aboriginal,"<div>The native, indigenous people of a country are often called aboriginals. In Canada, the First Nations — Inuits and Métis — would be considered aboriginals.</div>"
aborigine,"<div>If you’re an aborigine in a country, that means you were there first. Use the word to refer to someone or something that has been there since the beginning.</div>"
abort,"<div>To abort something is to end it. When something is aborted, it's finished.</div>"
abortion,"<div>Abortion is a surgical procedure that ends a pregnancy. In the United States, the public debate over a women's right to have an abortion is a complex and heated political issue.</div>"
abortive,"<div>Did you ever start something and not finish it? If so, that was an abortive project. Abortive things don't get finished.</div>"
abound,"<div>When things abound, there are a lot of them. In spring, birds, flowers, rain, and frisbees abound.</div>"
about,"<div>The adverb about, when used with a quantity, means approximately or roughly. If a teenager wants to have a couple of friends over, his mom might ask about how many ""a couple"" is — in his mind it may be about 50.</div>"
above,"<div>Above means higher than or overhead. On the fourth of July, many Americans like to sit on the ground and watch fireworks above them in the sky.</div>"
aboveboard,"<div>If something is aboveboard, it's done in a completely honest, straightforward way. When a company's business dealings are aboveboard, they act in an honorable, open manner.</div>"
abracadabra,<div>Abracadabra isn't just a magician's wind-up to a trick; it's also a word for a load of gibberish or nonsense.</div>
abrade,"<div>When you abrade something, you scrub it vigorously. To clean your dirty bathtub well, you'll have to abrade it with a scrub brush and powdered bleach.</div>"
abrasion,"<div>An abrasion is a scrape. An abrasion can happen to a person, as in a skinned knee, or to an object, as in what you get when you apply sandpaper to wood.</div>"
abrasive,<div>What does an obnoxious person have in common with sandpaper? Both are abrasive. Anything that grates or irritates — physically or metaphorically — can be described using this adjective.</div>
abreast,"<div>There's nothing worse than being stuck on a narrow path between two people walking abreast of one another. If they only knew you were there, they'd walk single file so you could pass them. Abreast means side by side.</div>"
abridge,"<div>So the editor wants to cut your epic 800-page history of the stapler to a 150-page summary instead. Don't cry — he just wants to abridge your masterpiece, trimming it down to the more readable essential elements.</div>"
abridged,<div>An abridged version of a book is a shortened version: it's not complete because parts have been cut or omitted.</div>
abroad,"<div>If you study abroad in your junior year of college, you are going to school in another country. Use abroad when you are talking about going to or from a place across an ocean.</div>"
abrogate,"<div>Abrogate means to abolish or avoid. When someone cuts in front of you in line, they are abrogating your right to be the next one served. When you cut in line, you are abrogating your responsibility to those who were in line before you.</div>"
abrogation,"<div>Abrogation is the act of canceling, nullifying, or repealing something, almost always in an official or legal context.</div>"
abrupt,<div>An abrupt decision is one you make suddenly. An abrupt halt is one the Road Runner comes to when reaching an abrupt drop-off—you'd hear brakes squealing.</div>
abruptly,"<div>If the weather changes abruptly, from bright and sunny to pouring down rain, you're going to get wet. When something happens abruptly, it is sudden and unexpected.</div>"
abruptness,"<div>The quality of abruptness is an almost rude bluntness or suddenness. When you act with abruptness, you do something quickly, with no warning or consideration of how other people feel about it.</div>"
abscess,<div>An abscess is a localized collection of pus surrounded by inflamed tissue. An abscess in a tooth is very painful and is often drained in a process called a root canal.</div>
abscission,"<div>Abscission means the cutting off or removal of something, like an unsightly mole on the chin.</div>"
abscond,"<div>Abscond is to escape, often taking something along. As a kid, you may have absconded from your lemonade stand — with the coffee can of cash in hand, and your bewildered sister still filling cups for your customers.</div>"
absence,"<div>Absence is the state of not being someplace, like school. It can also refer to the amount of time something has been, or plans to be gone.</div>"
absent,"<div>Absent means not there. If you absent yourself from class, you're marked as absent. If you have an absent parent, it means they don't live with you or take part in your care.</div>"
absentee,<div>An absentee is someone who doesn't show up when she's supposed to. A high school student who's an absentee too often may end up failing some classes.</div>
absenteeism,"<div>If you’ve got no reason to skip school or work but you do it all the time anyway, you’ve go a bad case of absenteeism. When there's absenteeism, someone isn't showing up.</div>"
absentminded,"<div>If you always forget where you put your glasses or your car keys, you can describe yourself as absentminded. An absentminded person is forgetful and often dreamy.</div>"
absolute,"<div>Use absolute as a noun or an adjective when you're so sure of something that you know it will never change. For example, a devout person's belief in life after death is an absolute; that person has absolute faith in the afterlife.</div>"
absolutely,"<div>When something is absolute, it's total and complete. When something is absolutely the case, it's going to be that way — no ifs, ands, or buts.</div>"
absolution,"<div>Absolution is a religious concept for purging someone of sin, granting them absolution. The word is used for other kinds of forgiveness too.</div>"
absolutism,"<div>Absolutism is the principle of complete and unrestricted government power, usually in the hands of one person, a dictator or despot.</div>"
absolutist,<div>An absolutist is someone who believes that the best form of government allows one person to hold all the power. North Korea is an example of a country that's been run by an absolutist leader for many years.</div>
absolve,"<div>To be absolved is to be let off the hook, to be set free from a certain obligation or to be forgiven for a wrongdoing. The Church may absolve you of your sins, but that won't absolve you of the need to attend mass.</div>"
absorb,"<div>To absorb is to take in or suck up like a sponge. If you don't hear your mother calling because you are reading, you could say you were absorbed in the book.</div>"
absorption,<div>Absorption describes the process of absorbing or soaking up something: Sponges are good at water absorption; dark colors are better for heat absorption.</div>
absorptive,"<div>Something absorptive has the quality of soaking up liquids. Paper towels are advertised as being extremely absorptive, but often a washcloth or sponge works even better to soak up spills.</div>"
absquatulate,<div>Absquatulate is a deeply silly word that means to make off with something or someone. Why say a thief ran away with your money when it's much more fun to say he absquatulated with it?</div>
abstain,"<div>If you abstain from something, you restrain yourself from consuming it. People usually abstain from things that are considered vices — like drinking alcohol or eating chocolate.</div>"
abstemious,"<div>Reserve abstemious for someone who exercises restraint, especially with regard to alcohol. A rock musician may sing about enjoying wine and women, but in his private life he may be abstemious.</div>"
abstention,"<div>Abstention is when someone deliberately avoids doing something, especially something that might be harmful.</div>"
abstinence,"<div>If you are a chocolate lover, you'll have to show great restraint when the dessert cart rolls over if you are practicing abstinence, another word for ""refraining."" It might take a lot of willpower not to throw yourself at the cart.</div>"
abstinent,"<div>Someone who's abstinent is moderate and restrained, especially when it comes to consuming food and drink. A person who quits drinking alcohol completely is abstinent.</div>"
abstract,<div>Use the adjective abstract for something that is not a material object or is general and not based on specific examples.</div>
abstraction,"<div>An abstraction is something nonspecific, a concept that isn't concrete. It can also refer to the state of mind in which a person is not paying attention to something but is lost in thought or daydreaming.</div>"
abstruse,<div>Abstruse things are difficult to understand because they are so deep and intellectually challenging. It might be hard to figure out how a toilet flushes but the technology that goes into making the Internet function is abstruse.</div>
absurd,"<div>Something absurd is really silly, absolutely ridiculous, or total nonsense. Thinking you can wear flip flops and a bikini to the North Pole is an absurd idea, for example.</div>"
absurdity,<div>An absurdity is something ridiculously foolish. The U.S. declaring war on Fiji would be an absurdity.</div>
abundance,"<div>To have an abundance of something is to have more than you need. It's often used to describe positive qualities, such as ""an abundance of love.""</div>"
abundant,"<div>On Halloween, you can find candy in abundant supply. Use abundant to describe something that exists in large amounts that are more than what's needed.</div>"
abuse,"<div>If you abuse someone, it means you are hurting that person, mentally, emotionally, or physically. If someone else is harming you, you are yourself suffering from abuse.</div>"
abusive,<div>People or actions that are hurtful or harmful are abusive. Being abusive is one of the worst things a parent — or anyone else — can do.</div>
abut,"<div>When something borders something else, it is said to abut it. The term is often used in real estate to refer to a lot line. Wouldn’t it be nice to have your back yard abut a forest preserve or park?</div>"
abuzz,"<div>If a room is abuzz, it's full of noise and chatter. An elementary school classroom is bound to be abuzz on the last day of school before summer.</div>"
abysmal,"<div>If you want to say something is really, really bad — then call it abysmal. If one person shows up to your party, well then that is an abysmal turnout. The 1958 Ford Edsel? An abysmal failure.</div>"
abyss,"<div>The noun abyss refers to a deep void or chasm — either literal or figurative. Making a momentous life decision with great uncertainty, like enrolling in clown college, might feel like jumping into the abyss.</div>"
acacia,"<div>An acacia is a kind of tree or bush that grows in very warm climates. If you visit Australia, you're likely to see an acacia.</div>"
academe,<div>Use the noun academe when you're talking about a college or university community. The world of academe can be a little intimidating when you're a freshman.</div>
academia,<div>The world of colleges and universities is academia. Academia is the academic world.</div>
academic,<div>Something that is academic is related to school. Your parents might want to spend less time playing video games and more time focusing on academic pursuits. The noun academic refers to a professor or scholar.</div>
academy,"<div>An academy is a fancy school, often one devoted to one subject or discipline, such as music or science. You can also use academy to describe the world of higher learning.</div>"
a cappella,"<div>If your singing group doesn't use any instruments or recorded music, you can describe it as a cappella. A cappella music features only voices.</div>"
acarophobia,"<div>Acarophobia is an extreme fear of very tiny bugs. If you suffer from acarophobia, the idea of getting head lice is completely terrifying.</div>"
accede,"<div>If you accede, it means you agree with someone or give in to his or her wish. The word is often used in a political context — the Queen acceded to the Prince's demands for more territory, a larger army, and funnier jesters.</div>"
accelerate,<div>Accelerate means to speed up. A car accelerates when you step on the gas. You can accelerate the process of getting a visa if you happen to know someone who works in the consulate.</div>
acceleration,"<div>Acceleration is the act of increasing speed. When you buy a sports car, you want one that has great acceleration, so it can go from zero to 60 miles an hour in no time.</div>"
accelerator,"<div>An accelerator makes things go, or accelerate. The gas pedal on a car is an accelerator, but so is a machine that scientists use to speed particles up and smash them.</div>"
accent,"<div>An accent is a stress or emphasis on a particular part of something, usually a word. Pronounce the word ""doofus"" with the accent on the first syllable: DOO-fuss.</div>"
accentuate,"<div>To accentuate something is to emphasize it. If you use a lot of emphasis to describe part of a meal, as in ""the steak was SOOO good, and I liked the salad too,"" you ""accent"" what ""-u"" ""-ate,"" or accentuate, the highlight of the meal — the steak.</div>"
accept,"<div>Please accept (""favorably receive"") our apologies, but you're just going to have to accept (""put up with"") the fact that this verb has almost a dozen different meanings.</div>"
acceptable,"<div>Something that is acceptable is satisfactory or proper for whatever purpose it is considered; it may not be all that’s hoped for, but it's at least adequate. A grade of “A” is best, but is a grade of ""C"" acceptable? It depends on whom you ask.</div>"
acceptance,<div>Acceptance is taking something given to you. You might be relieved by your friend's acceptance of your apology for accidentally riding your bike over his foot.</div>
accepted,"<div>Something that's accepted is considered to be an established fact, or a correct idea. It's accepted among most university students that it's important to get a college degree.</div>"
access,"<div>Most libraries provide computers you can use to access the Internet. If chemicals are being stolen from a lab, you might ask who has access to the lab. Access is approaching or making use of something, or the ability to do so</div>"
accessibility,"<div>Accessibility is approachability. One of the things you may want to consider in a job is the accessibility of the managers. If you have a concern, are they available to help, or are they always in meetings or ""at lunch""?</div>"
accessible,"<div>Accessible can mean easy to get to. If the mall is easily accessible, you might be tempted to spend a lot of money on your lunch breaks.</div>"
accession,<div>Accession is the act of advancing into a position. Being elected class president is a kind of accession.</div>
accessory,"<div>Whether we're talking about a fog light for your boat or just a nice hat to go with your boating outfit, an accessory is something you add to something else to make it better.</div>"
accident,"<div>An accident is an unfortunate event. By their very nature, accidents are not planned. Rear-ending the car ahead of you, spilling milk, losing your footing on an icy sidewalk — all of these are considered accidents.</div>"
accidental,<div>Anything accidental happens by chance or unintentionally. People don't mean to do accidental things.</div>
accidentally,"<div>If something happens accidentally, it didn't happen on purpose — blame it on a mistake, chance, or outside forces.</div>"
acclaim,"<div>You know you've hit it big when you earn acclaim, or enthusiastic approval. And when you have achieved ""critical acclaim,"" even the grouchy critics approve of you.</div>"
acclamation,"<div>Acclamation is acclaim or recognition for some achievement. A major league baseball team might have to win the World Series to get acclamation, but a t-ball team might get acclamation simply for finishing an entire game.</div>"
acclimate,"<div>When you acclimate yourself to a situation, you become used to it. It usually means getting accustomed to a particular new climate, but it can also mean getting used to other situations, such as a new school.</div>"
acclimation,<div>Acclimation is when you adjust to a new climate or situation. You could say that your acclimation to living in a new country has been harder than you expected.</div>
acclimatize,"<div>When you get used to a new situation or climate, you acclimatize to it. People who travel to very hot countries in the summer find it takes quite some time to acclimatize to the heat.</div>"
acclivity,"<div>An acclivity might be something to dread if you ride a bike a lot. An acclivity is an uphill slope, so you’ll have to pedal a little harder to get to the top.</div>"
accolade,"<div>A knight being honored with the tap of a sword-blade was the earliest form of accolade. Today, an accolade is more than a way to bestow knighthood, it is a form of praise or an award.</div>"
accommodate,"<div>If you accommodate, you are making an adjustment to suit a particular purpose. If you accommodate your brother's demand for the attic room, then you give in and let him take over that space.</div>"
accommodating,"<div>If you are part of a group that has accommodating members, you’re very fortunate. Accommodating describes those who are easy to get along with and willing to help you.</div>"
accommodation,<div>Accommodation is all about making room — it can mean a room or place where you will stay or an agreement about sharing something.</div>
accompaniment,"<div>If your menu tonight consists of grilled pork and savory apples, then the pork is the main item and the apples are the accompaniment, meaning they complement the main dish.</div>"
accompany,"<div>The verb accompany means to keep someone company, or to be their companion on a trip or journey. In a musical sense, accompany means to play background music for the lead singer or soloist.</div>"
accompanying,"<div>Someone or something that goes along with something else is accompanying. You might send an email with an accompanying photograph of your new puppy, for example.</div>"
accomplice,"<div>An accomplice is a cooperator or participator, commonly in criminal acts. So you’re an accomplice to the gas station robbery if you distracted the store manager while your partner in crime raided the registers for cash.</div>"
accomplish,<div>To accomplish something is to get it done. People usually accomplish things that are sources of pride — like goals or records. But people accomplish immoral acts as well — like scandals or cons.</div>
accomplished,<div>The adjective accomplished is useful for describing someone who's very good at something. You might use it to talk about yourself if you are an accomplished — or highly skilled — sword swallower.</div>
accomplishment,<div>An accomplishment is something notable that you've done. Graduating from college with honors is an accomplishment.</div>
accord,"<div>If you clean your room of your own accord, your parents will be pleased—it means you did it without having to be asked. They might even accord you an extra privilege. Warring nations make peace accords.</div>"
accordance,<div>Accordance is agreement between people or consensus within a group. A lack of accordance between members of a political party can spell disaster for their presidential candidate.</div>
according,"<div>If someone says, ""according to the weather man, it's going to rain,"" that means that the weather man is the source of the information.</div>"
accordingly,"<div>Accordingly means in accord with, or in correspondence with something. If you learn that your so-called best friend is spreading nasty rumors about you, act accordingly and stop being her friend.</div>"
accordion,<div>An accordion is a hand-held musical instrument that has a keyboard or buttons and a bellows that blows air in and out. A street musician might play folk tunes on her accordion and collect donations in a hat.</div>
accost,<div>To accost is to approach someone aggressively or confront them in an inappropriate way.</div>
account,"<div>An account can be many things — such as a story, like if you give a friend an account of what happened at the party she missed. It can also be a business arrangement, like a bank account or an email account.</div>"
accountability,"<div>If you take responsibility for your own actions, you show accountability. Stepping up and admitting it when you break something shows accountability.</div>"
accountable,"<div>If you're responsible for your own actions, you are accountable for them. You are accountable for your behavior in school. So even if your friend throws pudding at you at lunch, you don't have the right to fling mystery meat back.</div>"
accountant,"<div>An accountant is a person whose job involves keeping financial records for a business. To be a great accountant, you've got to be good at math.</div>"
accounting,"<div>Accounting is the act of computing something, usually by dealing with numbers. If you were very good at math in high school, you might think about going into accounting.</div>"
accouter,<div>To accouter a soldier is to dress her in military garb and provide her with the equipment she needs. A boy who runs away to join the army might first accouter himself in a camouflage jacket and steel-toed boots.</div>
accoutrement,"<div>Does that shiny new car come with all the bells and whistles? Then it has plenty of accoutrements, or accessories.</div>"
accreditation,"<div>Accreditation is the act of granting credit or recognition, especially to an educational institution that maintains suitable standards.</div>"
accredited,"<div>When you're accredited in your profession, you've shown that you meet certain standards. Schools and colleges are accredited by various educational organizations, dentists are accredited by the American Dental Association, and other professionals are accredited by their own organizations.</div>"
accretion,"<div>The process of increasing can be called accretion. Although you may say that stalactites ""grow"" from the ceilings of caves, they actually form from an accretion of limestone and other minerals.</div>"
accrual,"<div>That nest egg in the bank that gets bigger each year with interest? That's an accrual — a sum of money, or benefit of some kind, that gets bigger over time.</div>"
accrue,"<div>To accrue is to accumulate or to keep growing in value or size. If you can accrue enough extra credit to build up your grade, you won't have to take the final exam.</div>"
accrued,"<div>If something accumulates over a period of time, you can describe this with the adjective accrued. The principal in your bank account is so small, you'll never get rich off the accrued interest. You'd better plan on getting a job.</div>"
acculturation,"<div>Acculturation is what happens when you live with French people for a while and start going ""ooh la la"" and eating snails. It means adopting the ways of a culture that isn't yours.</div>"
accumulate,"<div>To accumulate means to gather, usually in large quantities. Let's hope your boyfriend is not the type to accumulate girlfriends.</div>"
accumulation,"<div>An accumulation is a gathering or increase of something over time. You might cross your fingers in hopes of a large accumulation of snow, so that you get a day off of school.</div>"
accuracy,"<div>Accuracy refers to a lack of mistakes or errors. ""I type very fast, but the accuracy of my typing is n't very goode.""</div>"
accurate,<div>Something that is accurate is exact and true. It's important to be accurate in the kitchen with your measurements and in the courtroom with your testimony.</div>
accurately,"<div>Anything done accurately is done correctly or with very few mistakes. Many things should be performed accurately, especially brain surgery.</div>"
accursed,<div>Use accursed to describe something that's under a curse or spell — or just seems like it is. You might call your car accursed if it keeps mysteriously dying in the middle of the road for no apparent reason.</div>
accusation,"<div>When you say someone is guilty of doing something wrong you make an accusation, like your accusation that your brother used your computer without asking first.</div>"
accusatory,"<div>An accusatory statement is a way of pointing your finger at someone and saying, “I know you did it!” It shows someone you think they did something wrong.</div>"
accuse,"<div>If you charge someone with misdeeds or misconduct, you accuse that person. If the last piece of devil's food cake is missing, your sister may accuse you of eating it — especially if you have chocolate on your mouth.</div>"
accustom,"<div>The verb accustom means to become used to or familiar with something; to make something a habit. If there is a new baby in your family, you will most likely become accustomed to changing diapers.</div>"
accustomed,"<div>If you're accustomed to something, you're used to it. Being accustomed has to do with habits and lifestyle.</div>"
ace,"<div>An ace is a playing card with the highest value in a deck. There are four aces in a full deck of cards, each with a single heart, spade, diamond, or club pictured on it.</div>"
acerbic,"<div>If you say something acerbic, or harshly bitter, to someone, it can leave a bitter taste in your own mouth that lingers, and the acerbic, or acidic, words can eat away at the person on the receiving end too.</div>"
acerbity,"<div>A lemon in your mouth, a mean-spirited neighbor, a roomful of sarcastic people: these are examples of acerbity, a type of harsh bitterness that can leave you stunned.</div>"
ache,"<div>An ache is a dull, lingering pain. An ache in your calves after your morning jog might mean you didn't stretch enough before you started running.</div>"
achievable,"<div>If it is achievable, it can be done. When setting goals for yourself it is critical that you honestly assess whether or not they are achievable, otherwise you are doomed to failure.</div>"
achieve,"<div>If you achieve something, you've reached a goal. Achievements aren't accidents. If you stumble upon a treasure chest, you haven't achieved something; however, achieving a promotion to become CEO is another story.</div>"
achievement,"<div>Achievement is another word for accomplishment. My greatest achievement to date is the time I won the annual hay-stacking contest at the county fair. That was twenty darn years ago, but I still look back fondly on that moment and the trophy I got to take home.</div>"
aching,"<div>Anything that's aching is sore and painful. After a hike up the side of a steep mountain or a long day walking around a city, you'll want to rest your aching feet.</div>"
achromatic,"<div>Use the adjective achromatic to describe something that's colorless, like a dull winter sky.</div>"
achy,"<div>If you're achy, your body hurts. A new boxer will undoubtedly feel achy after her first match.</div>"
acid,"<div>In technical terms, acid is a substance that can react with a base to make a salt. In practical terms, acid is the stuff you want to keep off your hands, or any part of you, because it will eat away your skin.</div>"
acidic,"<div>Something that's acidic has a sour or sharp taste. Lemonade, especially if it's light on the sugar, tastes very acidic.</div>"
acidify,<div>To acidify something is to chemically turn it into an acid or make it more acidic. Farmers often acidify soil by adding fertilizer to it.</div>
acid rain,"<div>Use the noun acid rain when you're talking about polluted precipitation, or rain that's made extremely acidic by dirty practices like burning coal.</div>"
acidulous,"<div>If you make lemonade and forget the sugar, the drink would have an acidulous or sour taste. If someone makes a snarky comment about your culinary skills, you might call their comments acidulous or bitter.</div>"
acknowledge,"<div>To show that you know something is to acknowledge it. Waving ""hello"" to acknowledge a friend and nodding your head ""yes"" to acknowledge that you agree with what's being said are both acts showing knowledge or acceptance of someone or something.</div>"
acknowledgement,<div>Giving an acknowledgment is a way of giving credit or props. Acknowledgments let you know who contributed or did work on something.</div>
acknowledgment,"<div>When you recognize or admit the truth of something, you make an acknowledgment. Your grumpy friend who never gets enough sleep? He needs to make an acknowledgment of what his late nights are doing to his mood.</div>"
acme,"<div>When something is at the very peak of perfection, reach for this noun from Greek: acme. A brilliant violinist might reach the acme of her career, but eventually she might become unstrung.</div>"
acne,"<div>Acne is a skin condition that causes pimples or even a red rash to pop up on your face and sometimes your back and shoulders. Teenagers are often affected by acne, which is a real bummer when you’re trying to flirt.</div>"
acolyte,"<div>A person who helps with religious services is an acolyte. An acolyte is also a fan or follower of the famous, so you can find an acolyte in church or at a concert.</div>"
acorn,"<div>The nut, or fruit, that grows on oak trees is called an acorn. Chicken Little thought the sky was falling when an acorn fell on his head. Don't make that same mistake.</div>"
